fundISINCode,managerID,managerName,managerStartDate,managerEndDate,reportDate
"LU0784640038","21156","Thomas Hauser","2019-09-04","","2022-01-07"
"LU0784640038","2716","James Shanahan","2012-03-06","","2022-01-07"
"LU0815945547","147638","Helen Lam","2012-09-06","","2022-01-07"
"LU0815945547","191881","Wendy Lee","2018-09-17","","2022-01-07"
"LU0853555463","123789","Ariel Bezalel","2012-05-08","","2022-01-07"
"LU0862451837","151397","Omar Negyal","2012-12-11","","2022-01-07"
"LU0862451837","184390","Isaac Thong","2020-06-17","","2022-01-07"
"LU0862451837","93912","RoskellJeffrey","2016-07-01","","2022-01-07"
"LU0863150172","75119","Timothy Parton","2017-02-17","","2022-01-07"
"LU0863150172","9310","Jonathan Simon","2014-01-31","","2022-01-07"
"LU0889220934","155380","Vincent Marioni","2017-09-01","","2022-01-07"
"LU0889220934","159842","Sebastien Ploton","2020-06-01","","2022-01-07"
"LU0889220934","186158","Grégoire Docq","2017-09-01","","2022-01-07"
"LU0927678507","108555","Nicholas Weindling","2015-09-01","","2022-01-07"
"LU0927678507","119031","Shoichi Mizusawa","2015-09-01","","2022-01-07"
"LU0927678507","180806","Miyako Urabe","2015-09-01","","2022-01-07"
"LU0965088593","9312","Dean Cashman","2006-07-05","","2022-01-07"
"LU0980739220","197881","Darina Valkova","2020-05-12","","2022-01-07"
"LU0980739220","166808","Andreas Hildebrand","2017-06-01","","2022-01-07"
"LU0987226023","104992","Jonathan Ingram","2007-03-01","","2022-01-07"
"LU0987226023","106872","John Baker","2005-02-01","","2022-01-07"
"LU0987226023","170385","Blake Crawford","2019-04-01","","2022-01-07"
"LU0987226296","104992","Jonathan Ingram","2007-03-01","","2022-01-07"
"LU0987226296","106872","John Baker","2005-02-01","","2022-01-07"
"LU0987226296","170385","Blake Crawford","2019-04-01","","2022-01-07"
"LU0992293067","123789","Ariel Bezalel","2012-05-08","","2022-01-07"
"LU1005227563","131815","Pierre-Yves Bareau","2010-11-29","","2022-01-07"
"LU1005227563","181192","Emil Babayev","2015-09-07","","2022-01-07"
"LU1005227563","9430","Scott McKee","2012-08-02","","2022-01-07"
"LU1034075835","104992","Jonathan Ingram","2007-03-01","","2022-01-07"
"LU1034075835","106872","John Baker","2007-03-01","","2022-01-07"
"LU1034075835","193992","Alex Whyte","2019-04-01","","2022-01-07"
"LU1041599405","173067","J. Andrew Norelli","2014-06-02","","2022-01-07"
"LU1041599405","186826","Andrew Headley","2017-03-30","","2022-01-07"
"LU1041599405","21156","Thomas Hauser","2020-07-01","","2022-01-07"
"LU1075211356","113287","Alexander Uhlmann","2021-04-08","","2022-01-07"
"LU1075211356","116681","Thorsten Paarmann","2007-03-30","","2022-01-07"
"LU1097445909","169350","Not Disclosed","2010-10-11","","2022-01-07"
"LU1128926307","173067","J. Andrew Norelli","2014-06-02","","2022-01-07"
"LU1128926307","186826","Andrew Headley","2017-03-30","","2022-01-07"
"LU1128926307","21156","Thomas Hauser","2020-07-01","","2022-01-07"
"LU1128926489","173067","J. Andrew Norelli","2014-06-02","","2022-01-07"
"LU1128926489","186826","Andrew Headley","2017-03-30","","2022-01-07"
"LU1128926489","21156","Thomas Hauser","2020-07-01","","2022-01-07"
"LU1216622560","114017","Michael Della Vedova","2015-06-04","","2022-01-07"
"LU1216622560","5010","Mark Vaselkiv","2015-06-04","","2022-01-07"
"LU1244138183","117035","Ernest Yeung","2015-09-14","","2022-01-07"
"LU1244139074","169374","Kenneth Orchard","2018-01-31","","2022-01-07"
"LU1273543592","182077","Edward Greaves","2018-02-28","","2022-01-07"
"LU1273543592","79557","Francesco Conte","1998-11-01","","2022-01-07"
"LU1273543592","84432","Georgina Brittain","2007-11-01","","2022-01-07"
"LU1323998911","165282","Karsten Kumpf","2016-01-20","","2022-01-07"
"LU1323998911","165284","Michael McCorry","2016-01-20","","2022-01-07"
"LU1366192091","174445","Doug Forsyth","2016-04-05","","2022-01-07"
"LU1366192091","9487","Michael Yee","2016-04-05","","2022-01-07"
"LU1497733557","192663","Kenneth Tan","2016-09-02","","2022-01-07"
"LU1548497426","162016","James Chen","2017-03-31","","2022-01-07"
"LU1548497426","99402","Sebastian Thomas","2017-03-31","","2022-01-07"
"LU1560902808","154970","David Oberto","2017-03-01","","2022-01-07"
"LU1560902808","7480","Douglas Forsyth","2017-03-01","","2022-01-07"
"LU1670770301","5195","Michael Conelius","2004-12-31","","2022-01-07"
"LU1670770640","114017","Michael Della Vedova","2015-06-04","","2022-01-07"
"LU1670770640","5010","Mark Vaselkiv","2015-06-04","","2022-01-07"
"LU1676121723","169374","Kenneth Orchard","2018-01-31","","2022-01-07"
"LU1697875497","181121","Samy Muaddi","2019-04-09","","2022-01-07"
"LU1706112338","181121","Samy Muaddi","2019-04-09","","2022-01-07"
"LU1775963454","156558","Tony Roberts","2018-09-07","","2022-01-07"
"LU1775963454","157336","William Lam","2018-09-07","","2022-01-07"
"LU1819532174","133635","Oliver Boulind","2019-04-30","","2022-01-07"
"LU1819532174","199293","Shamil Pankhania","2021-09-30","","2022-01-07"
"LU1819532174","94947","Ernst Osiander","2015-02-27","","2022-01-07"
"LU1858968206","162553","David Newman","2016-10-31","","2022-01-07"
"LU1858968206","200151","David Butler","2020-09-04","","2022-01-07"
"LU1861215975","107978","Tony Kim","2018-09-04","","2022-01-07"
"LU1887442140","151037","Ido Cohen","2011-05-02","","2022-01-07"
"LU1887442140","84919","Juan Hartsfield","2009-01-23","","2022-01-07"
"LU1894109211","185350","Joseph Wilson","2017-02-17","","2022-01-07"
"LU1894109211","206756","Eric Ghernati","2021-05-31","","2022-01-07"
"LU2088747725","163120","Joanna Ong","2019-12-09","","2022-01-07"
"LU2088747998","163120","Joanna Ong","2019-12-09","","2022-01-07"
"LU2088748020","163120","Joanna Ong","2019-12-09","","2022-01-07"
"LU2088748293","163120","Joanna Ong","2019-12-09","","2022-01-07"
